Stop ID,Stop Code,Stop Name
4028994,3668,Churton St at Police Station
4040178,1888,Zebulon Park-and-Ride
4040182,1889,E 4th St at Wendell Park-and-Ride
4040190,1890,E 4th St at Wendell Park-and-Ride
4040222,1904,McKnight Dr at Electric Ave
4040226,1905,McKnight Dr at WalMart
4049406,1029,Renaissance Pkwy at Leonardo Dr (EB)
4049410,1030,Renaissance Pkwy at The Lodge Apts
4049414,1072,Old Chapel Hill Rd at Garrett Rd
4049418,1074,University Dr at American Red Cross
4049422,1075,University Dr at Ivy Creek Blvd
4049486,1160,NC 54 at Blanchard Rd (EB)
4049490,1161,NC 54 at Residence Inn Blvd (EB)
4049494,1171,NC 54 at Blanchard Rd (WB)
4049498,1175,NC 54 at Fayetteville Rd (WB)
4049502,1182,Woodcroft Pkwy at Fayetteville Rd (WB)
4049506,1203,Woodcroft Pkwy at Highgate Dr (EB)
4049598,1778,Woodcroft Pkwy at Weathersfield Dr
4049606,1781,NC 54 at Revere Rd (EB)
4049618,1804,Renaissance Pkwy at Leonardo Dr (WB)
4049622,1805,NC 54 at Amhurst St (EB)
4049682,1871,NC 54 at S Alston Ave (WB)
4049686,1872,NC 54 at NC 55 (Pizza Hut)
4049690,1892,Fayetteville Rd at Renaissance Pkwy
4049694,1893,NC 54 at The Hamptons Apts (EB)
4049706,1901,McFarland Dr at Witherspoon Blvd
4049710,1914,University Dr at Beech Lake Apts (EB)
4049718,5002,Riddle Rd at Ancroft Ave (NB)
4049726,5005,Cornwallis Rd at Industry Ln (SB)
4049730,5006,Alston Ave at Durham Freeway (NB)
4049734,5008,S Alston Ave at Massey Ave (NB)
4049750,5017,Chapel Hill Rd at Mc Gehee St
4049754,5018,Morehead Ave at Vickers Ave (WB)
4049758,5019,Club Blvd at Kiss Dr
4049762,5020,Fayetteville Rd at Laurel Springs Dr
4049766,5021,Chapel Hill Rd at W Cornwallis Rd (SB)
4049770,5022,Alston Ave at Drew St
4049774,5023,Avondale Dr at E Markham St
4049786,5027,W Club Blvd at Gregson St
4049794,5030,Duke St at Main St
4049798,5031,Carver St at Guess Rd
4049802,5032,Roxboro Rd at Hammond St
4049806,5033,Roxboro Rd at Bush Dr
4049810,5035,Angier Ave at Pleasant Dr
4049814,5036,Roxboro Rd at Markham Ave (north)
4049818,5038,Liberty St at Queen St
4049822,5039,Fayetteville St at E Piedmont Ave
4049826,5042,University Dr at Weymouth St (WB)
4049830,5043,Holloway St at S Adams St
4049834,5044,Duke St at Harper Pl
4049838,5045,Roxboro Rd at Edgewood Dr
4049842,5047,Roxboro Rd at Markham Ave (south)
4049846,5048,Chapel Hill Rd at Pinecrest Rd
4049850,5050,Fayetteville Rd at Herndon Rd
4049858,5054,University Dr at Larchmont Dr
4049862,5055,Gregson St at Englewood Ave
4049866,5056,Lawson St at Sima Ave
4049874,5060,Dearborn Dr at Ruth St
4049878,5061,Wedgedale Ave at Lynn Rd
4049882,5063,NC 54 at Residence Inn Blvd (WB)
4049886,5064,Otis St at Red Oak Ave
4049898,5067,Mangum St at Geer St
4049902,5068,Holloway St at Junction Rd
4049906,5069,Hwy 98 at Mineral Springs Rd
4049926,5075,Milton Rd at Eno Valley Elementary (SB)
4049934,5079,Buchanan Blvd at Trinity Ave (NB)
4049938,5080,Fayetteville St at Homeland Ave (NB)
4049946,5084,Old Farm Rd at JFK Towers
4049954,5088,S Alston Ave at Massey Ave (SB)
4049958,5089,Duke St at Englewood Ave
4049962,5091,E Club Blvd at Glenbrook Dr (SB)
4049966,5092,Tower Blvd at Social Security Office
4049970,5093,University Dr at South Square Mall (WB)
4049974,5094,Lakewood Ave at Blackwell St
4049978,5097,Roxboro Rd at Murray Ave
4049982,5099,E Carver St at Patrick Henry Dr
4049986,5100,Weaver St at Weaver St Park
4049990,5101,E Club Blvd at Thorne St
4050002,5105,Duke Regional Hospital
4050010,5110,Fayetteville Rd at Wortley Dr
4050014,5111,Lawson St at WG Pearson Cafeteria
4050018,5112,Angier Ave at Commonwealth St
4050022,5113,Blackwell St at Forest Hills Apts (SB)
4050026,5115,Alston Ave at Dayton St (SB)
4050030,5116,Roxboro Rd at Duke St
4050034,5117,Glenbrook Dr at Dubonnet Pl (SB)
4050038,5118,MLK Pkwy at Lake Camp Rd
4050042,5119,Roxboro Rd at Ellerbee St
4050050,5121,University Dr at Weymouth St (Kinder Care)
4050062,5126,Avondale Dr at Nancy St
4050066,5127,Seven Oaks Rd at Riverview Shopping Center
4050070,5128,Roxboro Rd at Monk Rd (SB)
4050074,5129,NC 54 at The Hamptons Apts (WB)
4050078,5131,NC 54 at Seasons of Southpoint (EB)
4050082,5132,N Roxboro Rd at Crutchfield St
4050086,5133,University Dr at Westgate Dr (WB)
4050090,5134,Rummel St at Hwy 98
4050094,5136,Fayetteville Rd at Pearson Dr
4050098,5138,Angier Ave at Driver St (WB)
4050102,5139,Gregson St at Dacian Ave
4050106,5141,Avondale Dr at Trinity Ave
4050110,5142,Gregson St at Trinity Ave
4050114,5144,Dowd St at N Roxboro Rd
4050122,5148,E Main St at Alston Ave (WB)
4050126,5149,NC 55 at Riddle Rd (NB)
4050134,5152,Mangum St at Seeman St
4050138,5153,Garrett Rd at Old Chapel Hill Rd
4050142,5154,Alston Ave at Durham Freeway (SB)
4050146,5156,Chapel Hill Rd at Bivins St
4050154,5158,S Roxboro St at Lawson St (NB)
4050158,5161,NC 55 at Meredith Dr (NB)
4050162,5162,Willard St at Yancey St (Ramada Inn)
4050174,5169,Morehead Ave at Moreland Ave
4050182,5178,Club Blvd at Northgate Mall
4050186,5179,Roxboro St at Lodge St (Hillside Park)
4050190,5183,James St at Durham Chapel Hill Blvd
4050194,5184,Service Rd at Davidson Ave
4050198,5185,Chapel Hill Rd at Pickett Rd (NB)
4050206,5189,University Dr at Snowcrest Tr
4050210,5190,Nation Ave at Bedford St
4050214,5191,Fayetteville Rd at Woodcroft Pkwy (SB)
4050218,5193,Midvale Rd at Bedford St
4050222,5195,Mineral Springs Rd at Hwy 98
4050226,5197,Morehead Ave at Arnette Ave (EB)
